N de inscripcion;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios;Año_alta;Mes_alta
CV-VUT0502309-A;Vivienda 502309-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL CABALLERO RODAS, 203, Es:1 Pl:01 Pt:G;;2023-10-11;4762414YH0046S0010HR;;N;74.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0502311-A;Vivienda 502311-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL URBANO ARREGUI, 17, Es:A Pl:04 Pt:04;;2023-10-11;2557501YH0025N0078YZ;;N;53.0;2;N;1.0;2;0.0;0;1.0;2023;10
CV-VUT0502312-A;Vivienda 502312-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL PUERTO ROMANO, 1A, Es:8 Pl:01 Pt:02;;2023-10-11;5919601YH0151N0307UZ;;N;65.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0499437-A;Vivienda 499437-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL BENIAJAN, 10, Es:1 Pl:03 Pt:07;;2023-06-21;2556801YH0025N0048GM;;N;57.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0498745-A;Vivienda 498745-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL HELENA, 2C, Es:1 Pl:00 Pt:E;;2023-05-31;5590509YH0059S0007AD;;N;67.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0503065-A;Vivienda 503065-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL CAPITAN GARCIA GEA, 1B, Es:1 Pl:04 Pt:C;;2023-11-14;4863404YH0046S0016WP;;N;97.0;4;N;2.0;4;0.0;0;2.0;2023;11
CV-VUT0503068-A;Vivienda 503068-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL LOMA LA, 97, Pl:01 Pt:10;;2023-11-14;4966814YH0046N0106GZ;;N;60.0;4;N;2.0;4;0.0;0;2.0;2023;11
CV-VUT0503071-A;Vivienda 503071-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL GALEON, 2, Es:2 Pl:02 Pt:15;;2023-11-14;4863701YH0046S0218KK;;N;61.0;2;N;1.0;2;0.0;0;1.0;2023;11
CV-VUT0503073-A;Vivienda 503073-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL TORRESAL, 8, Pl:05 Pt:03;;2023-11-14;3365827YH0036N0024YE;;N;46.0;2;N;1.0;2;0.0;0;1.0;2023;11
CV-VUT0499657-A;Vivienda 499657-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL CICLON, 12, Es:21 Pl:01 Pt:B;;2023-06-29;1423802YH0012S0574MI;;N;144.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0499666-A;Vivienda 499666-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PUNTA PRIMA, 2A, Es:3 Pl:00 Pt:51;;2023-06-29;1423802YH0012S0052GM;;N;146.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0499411-A;Vivienda 499411-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR TORRETA II, 656, Es:T Pl:OD Pt:OS;;2023-06-20;2679616YH0027N0001LX;;N;43.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0498713-A;Vivienda 498713-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL HELSINKI, 26, Es:1 Pl:03 Pt:C;;2023-05-31;5368611YH0056N0033BJ;;N;68.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498281-A;Vivienda 498281-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV PURISIMA DE LA, 21, Es:1 Pl:01 Pt:10;;2023-05-02;4861204YH0046S0015YO;;N;55.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498282-A;Vivienda 498282-A;ALICANTE/ALACANT;TORREVIEJA;03183;AV DIEGO RAMIREZ PASTOR, 282, Es:2 Pl:01 Pt:S;;2023-05-03;5268702YH0056N0037TZ;;N;57.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498530-A;Vivienda 498530-A;ALICANTE/ALACANT;TORREVIEJA;03188;CL PUERTO ROMANO, 1A, Es:7 Pl:02 Pt:02;;2023-05-26;5919601YH0151N0291GY;;N;61.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498532-A;Vivienda 498532-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PARQUE MAR 3, 1, Es:6 Pl:02 Pt:05;;2023-05-26;5699601YH0059N0236YI;;N;54.0;2;N;1.0;2;0.0;0;1.0;2023;5
CV-VUT0499443-A;Vivienda 499443-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ENRIQUE FERMI, 1, Es:1 Pl:01 Pt:C;;2023-06-21;5870208YH0057S0011SE;;N;64.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0499446-A;Vivienda 499446-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL DOÑA RODRIGUEZ, 11M, Bloque:2 Es:1 Pl:00 Pt:29;;2023-06-21;4780203YH0048S0052EX;;N;61.0;6;N;3.0;6;0.0;0;3.0;2023;6
CV-VUT0491156-A;Vivienda 491156-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL PORTALICOS LOS, 13, Es:D Pl:+1 Pt:0E;;2022-07-04;2760602YH0026S0036LH;;N;62.0;4;N;2.0;4;0.0;0;2.0;2022;7
CV-VUT0491157-A;Vivienda 491157-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL PORTALICOS LOS, 13, Es:1 Pl:+1 Pt:0F;;2022-07-04;2760602YH0026S0037BJ;;N;66.0;4;N;2.0;4;0.0;0;2.0;2022;7
CV-VUT0491161-A;Vivienda 491161-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV OLAS DE LAS, 5, Es:1 Pl:03 Pt:05;;2022-07-04;1127802YH0012N0025KB;;N;71.0;4;N;2.0;4;0.0;0;2.0;2022;7
CV-VUT0499590-A;Vivienda 499590-A;ALICANTE/ALACANT;TORREVIEJA;03182;CL RADIO MURCIA, 33, Pl:01 Pt:01;;2023-06-27;4362632YH0046S0003XM;;N;86.0;2;N;1.0;2;0.0;0;1.0;2023;6
CV-VUT0499584-A;Vivienda 499584-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL GUILLERMO MARCONI, 7, Es:C Pl:01 Pt:0E;;2023-06-27;5769501YH0056N0234WQ;;N;73.0;6;N;3.0;6;0.0;0;3.0;2023;6
CV-VUT0499585-A;Vivienda 499585-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV DIEGO RAMIREZ PASTOR, 279, Es:2 Pl:00 Pt:05;;2023-06-27;5268402YH0056N0005HZ;;N;63.0;2;N;1.0;2;0.0;0;1.0;2023;6
CV-VUT0500948-A;Vivienda 500948-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL FRAGATA, 28, Es:1 Pl:04 Pt:02;;2023-08-18;4963501YH0046S0024XG;;N;53.0;4;N;2.0;4;0.0;0;2.0;2023;8
CV-VUT0500972-A;Vivienda 500972-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL CARITAS, 2, Pl:03 Pt:39;;2023-07-31;3768427YH0036N0324TS;;N;53.0;4;N;2.0;4;0.0;0;2.0;2023;7
CV-VUT0500976-A;Vivienda 500976-A;ALICANTE/ALACANT;TORREVIEJA;03182;CL CONCORDIA, 124, Es:1 Pl:05 Pt:04;;2023-07-31;4863103YH0046S0046WI;;N;39.0;2;N;1.0;2;0.0;0;1.0;2023;7
CV-VUT0489080-A;Vivienda 489080-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR CALA DORADA, 1, Es:2 Pl:00 Pt:05;;2022-03-18;1126102YH0012N0026OZ;;N;48.0;4;N;2.0;4;0.0;0;2.0;2022;3
CV-VUT0488997-A;Vivienda 488997-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL LOMA LA, 40, Es:1 Pl:01 Pt:09;;2022-03-14;4364304YH0046S0087QF;;N;68.0;4;N;2.0;4;0.0;0;2.0;2022;3
CV-VUT0489004-A;Vivienda 489004-A;ALICANTE/ALACANT;TORREVIEJA;03180;CR TORREJON EL, 4, Es:5 Pl:04 Pt:D;;2022-03-14;5991804YH0059S0251OW;;N;67.0;4;N;2.0;4;0.0;0;2.0;2022;3
CV-VUT0489008-A;Vivienda 489008-A;ALICANTE/ALACANT;TORREVIEJA;03183;AV DIEGO RAMIREZ PASTOR, 296, Es:1 Pl:01 Pt:E;;2022-03-14;5368302YH0056N0014PR;;N;70.0;6;N;3.0;6;0.0;0;3.0;2022;3
CV-VUT0487161-A;Vivienda 487161-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL SAN PASCUAL, 239, Es:1 Pl:EN Pt:24;;2021-08-09;4464301YH0046S0006QE;;N;69.0;4;N;2.0;4;0.0;0;2.0;2021;8
CV-VUT0487163-A;Vivienda 487163-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL POLA DE SIERO, 36, Es:1 Pl:01 Pt:01;;2021-08-09;5369603YH0056N0002RK;;N;75.0;6;N;3.0;6;0.0;0;3.0;2021;8
CV-VUT0487165-A;Vivienda 487165-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL MAR MENOR, 44, Es:4 Pl:00 Pt:15;;2021-08-09;1949101YH0014N0070RG;;N;51.0;2;N;1.0;2;0.0;0;1.0;2021;8
CV-VUT0491163-A;Vivienda 491163-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL JOAQUIN CHAPAPRIETA, 137, Es:A Pl:01 Pt:23;;2022-07-04;3667401YH0036N0050BB;;N;62.0;1;N;0.0;0;1.0;1;1.0;2022;7
CV-VUT0491165-A;Vivienda 491165-A;ALICANTE/ALACANT;TORREVIEJA;03182;CL SAL LA, 3, Es:1 Pl:01 Pt:02;;2022-07-04;5161306YH0056S0022OJ;;N;65.0;4;N;2.0;4;0.0;0;2.0;2022;7
CV-VUT0503465-A;Vivienda 503465-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL CONCORDIA, 147, Es:1 Pl:01 Pt:B;;2023-11-15;4763507YH0046S0016KP;;N;63.0;4;N;2.0;4;0.0;0;2.0;2023;11
CV-VUT0503468-A;Vivienda 503468-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL RADIO MURCIA, 17, Es:1 Pl:02 Pt:B;;2023-11-16;4461114YH0046S0006XE;;N;75.0;4;N;2.0;4;0.0;0;2.0;2023;11
CV-VUT0503469-A;Vivienda 503469-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ANGEL GARCIA ROGEL, 8, Es:1 Pl:00 Pt:A;;2023-11-17;5878108YH0057N0001KA;;N;163.0;6;N;3.0;6;0.0;0;3.0;2023;11
CV-VUT0503471-A;Vivienda 503471-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL PERSEO, 3, Es:4 Pl:01 Pt:01;;2023-11-16;5387103YH0058N0030JW;;N;80.0;6;N;3.0;6;0.0;0;3.0;2023;11
CV-VUT0503472-A;Vivienda 503472-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL MAESTRO PARADA, 2, Es:3 Pl:01 Pt:F;;2023-11-16;5059401YH0055N0109MA;;N;20.0;2;N;1.0;2;0.0;0;1.0;2023;11
CV-VUT0502387-A;Vivienda 502387-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ZOA, 25A, Es:1 Pl:04 Pt:B;;2023-10-17;4060707YH0046S0015BO;;N;67.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0502388-A;Vivienda 502388-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL MAR LLANA, 2, Es:3 Pl:08 Pt:58;;2023-10-17;1624601YH0012S0227MD;;N;99.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0502648-A;Vivienda 502648-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL FELIX RODRIGUEZ DE LA FUE, 19, Es:1 Pl:+1 Pt:04;;2023-10-25;4665508YH0046N0282RU;;N;84.0;6;N;3.0;6;0.0;0;3.0;2023;10
CV-VUT0502649-A;Vivienda 502649-A;ALICANTE/ALACANT;TORREVIEJA;03188;AV INGLATERRA, 65, Pl:03 Pt:0B;;2023-10-25;5908103YH0150N0012RB;;N;58.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0502650-A;Vivienda 502650-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL TORRIJA, 7, Es:T Pl:OD Pt:OS;;2023-10-25;2008219YH0120N0001SM;;N;98.0;6;N;3.0;6;0.0;0;3.0;2023;10
CV-VUT0502651-A;Vivienda 502651-A;ALICANTE/ALACANT;TORREVIEJA;03188;CL BRISA DE LA, 14, Es:1 Pl:00 Pt:08;;2023-10-25;6490901YH0069S0008MK;;N;37.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0502654-A;Vivienda 502654-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ALTA-MATA, 15, Es:1 Pl:01 Pt:03;;2023-10-25;5914205YH0151S0004DJ;;N;72.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0502657-A;Vivienda 502657-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL REGION DE MURCIA, 1A, Es:1 Pl:01 Pt:70;;2023-10-25;6486502YH0068N0177HZ;;N;50.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0498369-A;Vivienda 498369-A;ALICANTE/ALACANT;TORREVIEJA;03182;CL GOLETA, 21, Es:1 Pl:04 Pt:0J;;2023-05-22;5065111YH0056N0046LR;;N;62.0;2;N;1.0;2;0.0;0;1.0;2023;5
CV-VUT0488663-A;Vivienda 488663-A;ALICANTE/ALACANT;TORREVIEJA;03182;AV HABANERAS DE LAS, 83, Es:1 Pl:02 Pt:01;;2022-02-18;4864905YH0046S0008IT;;N;71.0;4;N;2.0;4;0.0;0;2.0;2022;2
CV-VUT0495402-A;Vivienda 495402-A;ALICANTE/ALACANT;TORREVIEJA;03182;CL CONCORDIA, 124, Es:1 Pl:03 Pt:06;;2022-12-13;4863103YH0046S0030SK;;N;47.0;2;N;1.0;2;0.0;0;1.0;2022;12
CV-VUT0488549-A;Vivienda 488549-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV ROENTGEN, 4, Bloque:3 Es:1 Pl:02 Pt:02;;2022-02-11;5670506YH0057S0024OD;;N;74.0;6;N;3.0;6;0.0;0;3.0;2022;2
CV-VUT0498631-A;Vivienda 498631-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ITACA, 6, Es:G Pl:01 Pt:21;;2023-05-16;5392101YH0059S0128DI;;N;51.0;6;N;3.0;6;0.0;0;3.0;2023;5
CV-VUT0498633-A;Vivienda 498633-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL GUADALAJARA, 1, Es:1 Pl:06 Pt:E;;2023-05-16;5993101YH0059S0031DT;;N;9.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498640-A;Vivienda 498640-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL GINES SAURA SANCHEZ, 6, Es:1 Pl:01 Pt:64;;2023-05-16;4387501YH0048N0144HS;;N;78.0;6;N;3.0;6;0.0;0;3.0;2023;5
CV-VUT0502319-A;Vivienda 502319-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL PUERTO ROMANO, 8B, Es:1 Pl:00 Pt:14;;2023-10-12;6119909YH0161N0058AY;;N;79.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0502512-A;Vivienda 502512-A;ALICANTE/ALACANT;TORREVIEJA;03180;PS LIBERTAD DE LA, 9, Es:1 Pl:05 Pt:IZ;;2023-10-23;4057904YH0045N0013XT;3,05E+12;N;69.0;4;N;2.0;4;0.0;0;2.0;2023;10
CV-VUT0486564-A;Vivienda 486564-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL MAR DE FONDO, 1, Es:2 Pl:02 Pt:A1;;2021-06-15;1622501YH0012S0067IS;;N;169.0;4;N;2.0;4;0.0;0;2.0;2021;6
CV-VUT0486565-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL MAYOR-MATA, 54, Es:2 Pl:01 Pt:08;;2021-06-15;5920701YH0152S0038FD;;N;57.0;4;N;2.0;4;0.0;0;2.0;2021;6
CV-VUT0489282-A;Vivienda 489282-A;ALICANTE/ALACANT;TORREVIEJA;03183;RD JOSE SAMPER GARCIA, 1C, Pl:02 Pt:N;;2022-03-29;5590507YH0059S0062UR;;N;71.0;2;N;1.0;2;0.0;0;1.0;2022;3
CV-VUT0489341-A;Vivienda 489341-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL CESAR MATEO CID, 21, Es:14 Pl:00 Pt:75;;2022-03-31;4484606YH0048S0075GH;;N;103.0;6;N;3.0;6;0.0;0;3.0;2022;3
CV-VUT0495847-A;Vivienda 495847-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL MAESTRO FRANCISCO CASANOV, 55, Es:B4 Pl:01 Pt:57;;2023-03-09;4467201YH0046N0414YS;;N;58.0;4;N;2.0;4;0.0;0;2.0;2023;3
CV-VUT0496272-A;Vivienda 496272-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL ESCORPIONES, 1, Es:3 Pl:00 Pt:14;;2023-03-20;0033101YH0003S0056DJ;;N;85.0;4;N;2.0;4;0.0;0;2.0;2023;3
CV-VUT0497517-A;Vivienda 497517-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL MAYOR-MATA, 19, Es:1 Pl:+2 Pt:01;;2023-05-02;5914604YH0151S0024AI;;N;94.0;6;N;3.0;6;0.0;0;3.0;2023;5
CV-VUT0497653-A;Vivienda 497653-A;ALICANTE/ALACANT;TORREVIEJA;03186;CL TEULADA, 3, Es:2 Pl:00 Pt:85;;2023-05-05;8642904XH9084S0120LX;;N;;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0497688-A;Vivienda 497688-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL FINLANDIA, 22, Es:1 Pl:02 Pt:10;;2023-05-08;5468101YH0056N0074RM;;N;58.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498410-A;Vivienda 498410-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL GASES LOS, 20, Es:2 Pl:02 Pt:14;;2023-05-23;4665508YH0046N0136HL;;N;59.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498413-A;;ALICANTE/ALACANT;TORREVIEJA;03180;AV HOLANDA, 43, Es:1 Pl:02 Pt:16;;2023-05-23;5805403YH0150N0175AX;;N;63.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498414-A;Vivienda 498414-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PARQUE MAR 1, 1, Es:4 Pl:00 Pt:05;;2023-05-23;5503501YH0150S0287ML;;N;52.0;2;N;1.0;2;0.0;0;1.0;2023;5
CV-VUT0498415-A;Vivienda 498415-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV ROENTGEN, 5, Es:1 Pl:02 Pt:10;;2023-05-23;5570101YH0057S0021XP;;N;86.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498588-A;Vivienda 498588-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL TXACOLINA,, Es:2 Pl:00 Pt:27B;;2023-02-11;0332901YH0003S0028BZ;;N;80.0;4;N;2.0;4;0.0;0;2.0;2023;2
CV-VUT0498599-A;Vivienda 498599-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL POSEIDON, 2, Bloque:2A Es:1 Pl:09 Pt:02;;2023-05-12;1624603BC4849S0229BI;3,05E+12;N;106.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498100-A;Vivienda 498100-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL PEDRO LORCA, 111, Pl:02 Pt:E;;2023-05-15;4460427YH0046S0026KJ;;N;89.0;4;N;1.0;2;2.0;2;3.0;2023;5
CV-VUT0498106-A;VT-498106A;ALICANTE/ALACANT;TORREVIEJA;03180;RD D RICARDO LA FUENTE AGUAD, 16, Es:1 Pl:03 Pt:25;;2023-05-16;3467702YH0036N0050AB;;N;90.0;6;N;3.0;6;0.0;0;3.0;2023;5
CV-VUT0495131-A;Vivienda 495131-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL CONCORDIA, 121, Es:1 Pl:01 Pt:02;;2023-02-13;4663119YH0046S0023EF;;N;63.0;4;N;2.0;4;0.0;0;2.0;2023;2
CV-VUT0495586-A;Vivienda 495586-A;ALICANTE/ALACANT;TORREVIEJA;03185;UR MAR AZUL-ELISEOS PLAYAS, 7, Es:7 Pl:03 Pt:09;;2023-03-01;1738107YH0013N0027YH;;N;33.0;2;N;1.0;2;0.0;0;1.0;2023;3
CV-VUT0496182-A;Vivienda 496182-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PARQUEMAR-5, 1D, Bloque:15 Es:1 Pl:01 Pt:84;;2023-03-16;5703201YH0150S0363ER;;N;57.0;4;N;2.0;4;0.0;0;2.0;2023;3
CV-VUT0496253-A;;ALICANTE/ALACANT;TORREVIEJA;03180;UR PUNTA PRIMA, 2A, Es:8 Pl:02 Pt:184;;2023-03-17;1423802YH0012S0185LR;3,05E+12;N;153.0;4;N;1.0;2;2.0;2;3.0;2023;3
CV-VUT0493297-A;Vivienda 493297-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV HABANERAS DE LAS, 119, Pl:05 Pt:D;;2022-11-10;5365430YH0056N0016AY;;N;34.0;2;N;1.0;2;0.0;0;1.0;2022;11
CV-VUT0500278-A;Vivienda 500278-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL NORUEGA, 3, Es:1 Pl:03 Pt:13;;2023-07-21;5365402YH0056N0074KM;;N;37.0;2;N;1.0;2;0.0;0;1.0;2023;7
CV-VUT0500368-A;Vivienda 500368-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV DOCTOR MARIANO RUIZ CANOV, 4, Es:D Pl:03 Pt:D;;2023-07-25;5365425YH0056N0066TK;;N;52.0;2;N;1.0;2;0.0;0;1.0;2023;7
CV-VUT0499485-A;Vivienda 499485-A;ALICANTE/ALACANT;TORREVIEJA;03182;AV PURISIMA DE LA, 47, Es:1 Pl:04 Pt:03;;2023-06-25;5161302YH0056S0072IY;;N;75.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0499489-A;Vivienda 499489-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL VALENCIA, 15, Es:K Pl:01 Pt:62;;2023-04-27;2558101YH0025N0398KZ;;N;57.0;3;N;1.0;2;1.0;1;2.0;2023;4
CV-VUT0498453-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL GUILLERMO MARCONI, 1, Es:F Pl:01 Pt:H2;;2023-05-24;5769501YH0056N0250SA;;N;72.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498457-A;Vivienda 498457-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV PURISIMA DE LA, 47, Es:1 Pl:04 Pt:07;;2023-05-24;5161302YH0056S0076SP;;N;72.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498458-A;Vivienda 498458-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL FRAGATA, 17, Es:1 Pl:02 Pt:A;;2023-05-24;4863402YH0046S0022PD;;N;80.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0501236-A;Vivienda 501236-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PUNTA PRIMA, 2A, Es:12 Pl:00 Pt:280;;2023-08-23;1423802YH0012S0282LR;;N;108.0;4;N;2.0;4;0.0;0;2.0;2023;8
CV-VUT0501237-A;Vivienda 501237-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR LOMAS DEL MAR, 247, Es:1 Pl:00 Pt:62;;2023-08-23;6293115YH0069S0001XA;;N;101.0;5;N;2.0;4;1.0;1;3.0;2023;8
CV-VUT0500287-A;Vivienda 500287-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV INGLATERRA, 32, Pl:01 Pt:0D;;2023-07-07;5908707YH0150N0006GJ;;N;49.0;2;N;1.0;2;0.0;0;1.0;2023;7
CV-VUT0500290-A;Vivienda 500290-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL SAN EMIGDIO, 27, Es:1 Pl:02 Pt:08;;2023-07-09;3466611YH0036N0034MP;;N;41.0;2;N;1.0;2;0.0;0;1.0;2023;7
CV-VUT0500633-A;Vivienda 500633-A;ALICANTE/ALACANT;TORREVIEJA;03188;CL BRISA DE LA, 15, Es:1 Pl:02 Pt:01;;2023-08-02;6490902YH0069S0033WA;;N;72.0;6;N;3.0;6;0.0;0;3.0;2023;8
CV-VUT0500639-A;Vivienda 500639-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR BARCAS LAS, 19A, Bloque:3 Es:6 Pl:00 Pt:29;;2023-08-03;0732301YH0003S0029AX;;N;88.0;8;N;4.0;8;0.0;0;4.0;2023;8
CV-VUT0495101-A;Vivienda 495101-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL ARGOLIDAS, 7, Es:1 Pl:00 Pt:13;;2023-02-10;5186401YH0058N0013AF;;N;111.0;6;N;3.0;6;0.0;0;3.0;2023;2
CV-VUT0497536-A;Vivienda 497536-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PUNTA PRIMA, 6A, Es:1 Pl:-1 Pt:64;;2023-02-15;1225801YH0012N0206UD;;N;34.0;4;N;2.0;4;0.0;0;2.0;2023;2
CV-VUT0498446-A;Vivienda 498446-A;ALICANTE/ALACANT;TORREVIEJA;03182;CL ARQUITECTO LARRAMENDI, 23, Es:1 Pl:02 Pt:F;;2023-05-24;4866602YH0046N0018OR;;N;74.0;4;N;2.0;4;0.0;0;2.0;2023;5
CV-VUT0498760-A;Vivienda 498760-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL CABALLERO RODAS, 130, Es:1 Pl:04 Pt:B;;2023-06-01;4561203YH0046S0009KY;;N;89.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0498976-A;Vivienda 498976-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL GOLETA, 32, Es:1 Pl:04 Pt:G;;2023-06-08;5064501YH0056S0040UY;;N;47.0;2;N;1.0;2;0.0;0;1.0;2023;6
CV-VUT0498977-A;Vivienda 498977-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV MARINEROS DE LOS, 4, Pl:05 Pt:0G;;2023-06-08;4760904YH0046S0068YQ;;N;89.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0498979-A;Vivienda 498979-A;ALICANTE/ALACANT;TORREVIEJA;03183;CL ISLANDIA, 4, Es:1 Pl:03 Pt:08;;2023-06-08;5367101YH0056N0132EL;;N;60.0;3;N;1.0;2;1.0;1;2.0;2023;6
CV-VUT0499020-A;Vivienda 499020-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV DIEGO RAMIREZ PASTOR, 168, Es:5 Pl:00 Pt:B;;2023-06-08;4265604YH0046N0018QR;;N;76.0;4;N;2.0;4;0.0;0;2.0;2023;6
CV-VUT0500007-A;Vivienda 500007-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL MORIONES, 39, Es:1 Pl:03 Pt:02;;2023-07-11;4162105YH0046S0040LW;;N;61.0;4;N;2.0;4;0.0;0;2.0;2023;7
